title,published,summary,author,link,text
Whirring Into Action in Ukraine’s Skies,"Sat, 04 Mar 2023 16:55:04 +0000","Against the odds, Ukraine’s helicopter brigades are not only still operational, but are an inspirational component of its war effort.",Carlotta Gall and Daniel Berehulak,https://www.nytimes.com/2023/03/04/world/europe/ukraine-helicopters-russia.html,"On a snowbound field, three Soviet-era helicopters were being readied for battle. Pilots and crew checked the flight plan for their next target, while technicians loaded slim gray rockets into launcher pods and stacked flares into racks behind the exhaust.

One year into the war, against all the odds, Ukraine’s helicopter brigades are still operational. Every day of the week, multiple times a day, they go into battle against enemy forces, launching rocket attacks along the front lines in support of ground troops and occasionally slipping under Russian air defenses to fly covert missions into enemy territory.

Far from being knocked out in the first days of the invasion, Ukraine’s helicopters and jets have kept flying, remaining an inspiring and useful element of the war effort.

In a rare opportunity, the 18th Sikorsky Brigade, the foremost of Ukraine’s four helicopter brigades, gave reporters access to a combat unit for two days recently. Officers and pilots described how the Ukrainian brigades moved their aircraft at the onset of the war to evade Russian strikes, and how they adapted their tactics to fighting a much more powerful and better equipped adversary."
"They Shared Erotic Images in a Group Chat. The Fine: $17,000.","Sat, 04 Mar 2023 18:55:16 +0000",A couple in Singapore created a Telegram account where they posted risqué content for subscribers. They were convicted of violating nudity and obscenity laws.,Sui-Lee Wee,https://www.nytimes.com/2023/03/04/world/asia/singapore-telegram-couple.html,"The video shows the woman in a spaghetti strap top and very short shorts strolling outside a mall in central Singapore. She looks around to make sure no one can see her. Then she pulls down her top, revealing a breast to her partner, who is filming her.

The woman, Nguyen Thi Anh Thy, and her husband, Jeffrey Chue, say no one saw them make the video in May 2020. A day later, Mr. Chue uploaded it to a private channel he had created on the messaging app Telegram mostly for people who participate in group sex and partner swapping.

Membership in the channel grew, and the video quickly found its way beyond the members — to the internet.

Two years later, a court in Singapore fined the couple $17,000, saying the video as well as other photos of Ms. Nguyen in various states of undress violated the country’s laws against nudity and obscenity. The couple was also convicted of providing and abetting false information."
"In West Bank, New Armed Groups Emerge, and Dormant Ones Stir","Sat, 04 Mar 2023 15:33:25 +0000","The small but influential Lions’ Den network has attracted young Palestinians disappointed by their leaders and angry at Israeli violence. Veteran fighters are restless, too.",Patrick Kingsley and Hiba Yazbek,https://www.nytimes.com/2023/03/04/world/middleeast/west-bank-lions-den.html,"After a violent uprising by Palestinians against Israel subsided nearly two decades ago, Abu Abdallah, then a leader of a Palestinian militia, stashed away his assault rifle and later became a civil servant in the West Bank city of Nablus.

When Israeli troops raided Nablus late last month, Abu Abdallah, now 42, lent that rifle to a group of Palestinian gunmen 20 years younger who were locked in a four-hour gun battle with the soldiers in the Palestinian city. That made him a party to the conflict for the first time in years — one of several former fighters who returned to the fray that day, he said.

“We have this feeling that we need to do our duty,” said Abu Abdallah, who asked to be identified by his nom de guerre in order to avoid legal repercussions.

For years, the Palestinian Authority, the semiautonomous body that administers cities in the Israeli-occupied West Bank, like Nablus, worked with Israel to keep Palestinian militias in relative check. The authority had hoped that building enough trust with Israeli leaders would persuade them to allow the formation of a Palestinian state."
A Massacre That Rippled Through Generations in Thailand,"Sat, 04 Mar 2023 13:35:31 +0000","For the parents and the grandparents of the children who were killed as they slept at a rural day care, coming to terms with the tragedy has been an impossible task.",Ryn Jirenuwat and Sui-Lee Wee,https://www.nytimes.com/2023/03/04/world/asia/thailand-daycare-massacre.html,"When a former police officer in rural Thailand shot and stabbed more than two dozen children as they napped in their preschool in October, the episode became the worst mass shooting by a lone attacker in Thailand’s history.

After the attack — which killed 36 people, 24 of them children — the Thai authorities ordered law enforcement agencies to tighten gun ownership rules in Thailand, which has more guns than anywhere else in Southeast Asia.

But little else has changed. And the families continue to grieve.

Many of the children were cared for by their grandparents as their parents worked in faraway cities. “These kinds of families — we call them ‘skipped-generation families,’” said Patcharin Lapanun, an assistant professor at Thailand’s Khon Kaen University. “In these kinds of households, there are the grandchildren and grandparents living together, but their parents leave home.”

That distance amplified the pain that has rippled across generations where the attack occurred, in Uthai Sawan."
"The Woman Shaking Up Italian Politics (No, Not the New Prime Minister)","Sat, 04 Mar 2023 08:00:11 +0000","Daughter of Italian and Jewish American parents, Elly Schlein wants to remake the center-left opposition to Giorgia Meloni, if only her party can survive it.",Jason Horowitz,https://www.nytimes.com/2023/03/04/world/europe/elly-schlein-italy.html,"ROME — Growing up in Switzerland, Elly Schlein felt a little lost.

“I was the black sheep. Because my brother and sister seemed to be more sure of what they would do,” the politician recalled. She watched Italian neorealist cinema and American comedies, played Philip Glass on the piano, pet her dwarf bunny named after Freddie Mercury, listened to the Cranberries and ultimately got involved in her school’s politics. “It took a lot more time for me to find my way,” she said.

Last weekend, Ms. Schlein, 37, found her way into the center of the debate about the future of the European left when she stunned the liberal establishment and reordered Italy’s political landscape by winning a primary election to become the first woman to lead the country’s center-left Democratic Party. She is promising, she said in her new office headquarters on Wednesday, to “change deeply” a party in the midst of an identity crisis.

It is hard to embody change in Italy more than Ms. Schlein.

A woman in a relationship with a woman, she is the daughter of a Jewish American father; granddaughter of an Italian antifascist partisan; proud native of Lugano, Switzerland; former volunteer for Barack Obama; collaborator on an award-winning documentary about Albanian refugees; fan of “Naked Gun” movies; shredder of Green Day chords on her electric guitar; and fervent progressive eager to make common international cause with “A.O.C.,” Representative Alexandria Ocasio-Cortez, Democrat of New York."
"After Greek Train Crash, Station Manager Faces Court","Sat, 04 Mar 2023 15:42:34 +0000","After a deadly train crash, rail workers said that a key signal light was always stuck on red, and that station managers only warned one another of oncoming trains via walkie-talkie.",Emma Bubola,https://www.nytimes.com/2023/03/04/world/europe/greek-crash-station-manager-court.html,"“I’d cross myself every time for a crash not to happen,” said Theodor Leventis, a train safety supervisor of 20 years. He attended a vigil for the train’s victims in front of Larissa’s train station on Friday. “I was sure it would happen,” he added.

Mr. Leventis, 65, retired two years ago after working on the same route where the crash had occurred. “They can’t say a man is responsible,” he said. “The only one responsible is the government.”

The Greek government was supposed to have installed an automated safety system nearly three years ago, but it received extensions amid a contentious contracting process. That system is intended to sound alarms and automatically stop locomotives in dangerous situations.

In the days after the crash, the Greek government has not explained why that system was so behind schedule. Neither have officials with the European Union, which spent hundreds of millions of euros over the past decade to improve a rail system that, by multiple measures, is the deadliest in Europe.

Railway unions have long warned of looming disaster. Workers said their fears started to mount after the financial crisis that devastated Greece’s economy in 2010. Railway staffing was sharply cut and unions have said for years that their members were overworked and assigned to important stations without proper training experience.

Giorgos Apostoleris, a former station master, recalled being transferred a few years ago to Larissa on an hour’s notice. He worried then about who would be held responsible if he made a mistake. Tragedy, he said on Friday, was all but inevitable. “It even took too long for an accident to happen,” he said in an interview."
Fight for Ukrainian City of Bakhmut Becomes a Battle Over Roads,"Sat, 04 Mar 2023 17:41:55 +0000",Ukraine’s military said that Russia was inching ahead in its efforts to encircle the city but that it had beaten back several attacks on supply routes.,Andrew E. Kramer,https://www.nytimes.com/2023/03/04/world/europe/ukraine-russia-war-bakhmut.html,"KYIV, Ukraine — Ukrainian forces repelled multiple Russian attacks on Saturday in fighting around the partly encircled city of Bakhmut, which has come down to a yard-by-yard battle for vital roads that supply the city’s defenders.

But the Ukrainian military acknowledged that soldiers inside the city were now encircled on three sides by a combined force of the Russian Army and the Wagner private military company, which includes fighters recruited from prisons.

On Friday, the company’s owner, Yevgeny V. Prigozhin, taunted President Volodymyr Zelensky of Ukraine in a video, saying that only one road remained open to the west of Bakhmut, a city in the Donbas region of eastern Ukraine. Ukrainian commanders say that a counterattack this past week pushed Russian forces away from at least one of the embattled roads into the city, for the moment easing resupply for troops inside."
Provincial Governor Is Fatally Shot in the Philippines,"Sat, 04 Mar 2023 15:10:19 +0000","Three men have been arrested in the attack on Gov. Roel Degamo, who died on Saturday along with five citizens who had been meeting with him.",Jason Gutierrez,https://www.nytimes.com/2023/03/04/world/asia/provincial-governor-shot-philippines.html,"MANILA — Armed men in military gear attacked a provincial governor in the central Philippines on Saturday, killing him and several other people, according to the police. Hours later, three were arrested in connection with the case.

The motive for the killing, the latest in a series of deadly attacks on political leaders, was not immediately clear. Initial police reports said that the governor, Roel Degamo, had been at home in the town of Pamplona, in the province of Negros Oriental, when the attack took place.

At least five other people present were also killed. They were described as citizens who had been meeting with Mr. Degamo to seek aid from the governor’s welfare program.

President Ferdinand Marcos Jr., calling for a speedy investigation, vowed that the killers would be caught."
Italy Shipwreck Kills Soccer Player from Pakistan,"Sat, 04 Mar 2023 20:34:47 +0000","Shahida Raza, a national soccer and field hockey player, wanted her disabled son to have a better life. The boat carrying her to Italy crashed just off the coast.",Salman Masood and Mike Ives,https://www.nytimes.com/2023/03/04/world/europe/shahida-raza-pakistani-soccer-shipwreck-italy.html,"Shahida Raza played on Pakistan’s national soccer and field hockey teams, but her athletic prowess did not make her rich or allow her to emigrate to Europe legally.

That helps explain why Ms. Raza, a mother of one, was traveling to Italy from Turkey last month on a boat with other economic migrants from Central Asia. Ms. Raza, 29, was one of at least 63 people who died when rough seas dashed the boat against rocks about a hundred yards from the Italian shore — agonizingly close to the land where she had hoped to start a new life.

Ms. Raza had left her 3-year-old son, who is partly paralyzed, with her ex-husband in Pakistan before starting her dangerous journey. But her family and friends say her plan was to settle the boy eventually in Italy, where she hoped he would receive better medical treatment.

“She was deeply concerned about his health and wanted him to have a normal life,” Saba Khanum, one of her longtime soccer and field hockey teammates, said in an interview."
Diplomat Who Faced Brexit Freeze in U.K. Now Sees a ‘New Beginning’,"Sat, 04 Mar 2023 15:19:50 +0000","As the European Union’s first ambassador in London, João Vale de Almeida had to fight even for official recognition. Prime Minister Rishi Sunak and the Windsor Framework are changing things, he says.",Stephen Castle,https://www.nytimes.com/2023/03/04/world/europe/uk-eu-northern-ireland.html,"As the European Union’s ambassador to London, João Vale de Almeida had a ringside seat for the chaos overwhelming British politics last year, when all eyes were on the missteps, scandals and resulting downfalls of two prime ministers in quick succession.

Under either of the ousted prime ministers, Mr. Vale de Almeida indicated, prospects were dim for resolving one of the most serious conflicts contributing to rocky post-Brexit relations between Britain and the European Union: the trade status of Northern Ireland.

But the relationship has shifted significantly with the rise of a new prime minister, Rishi Sunak, Mr. Vale de Almeida said, culminating on Monday when Mr. Sunak and Ursula von der Leyen, the president of the E.U.’s executive arm, the European Commission, struck a deal to resolve their Northern Ireland dispute.

That breakthrough, Mr. Vale de Almeida said, opened a path to greater cooperation not only between Brussels and London, but also between Europe and the United States, in confronting common challenges like Russian aggression and rising tension with China, where Western cooperation is essential."
What to Expect at China’s National People’s Congress as Xi Tightens Grip,"Sat, 04 Mar 2023 16:33:14 +0000","When its top legislature meets, Beijing will lay out a vision for reviving economic growth and strengthening the Communist Party’s grip after a chaotic reopening.",Chang Che,https://www.nytimes.com/2023/03/04/world/asia/china-congress-xi-jinping.html,"China’s leaders are set to use a gathering of the top legislature starting Sunday to outline plans to restore public confidence and bolster economic growth after a year of uncertainty, disruption and discontent around the government’s Covid restrictions.

The annual session of the largely ceremonial National People’s Congress in Beijing is aimed at conveying the ruling Communist Party’s confidence and inspiring national unity. For the country’s top leader, Xi Jinping, this year’s event will also be key to reinforcing his authority after his signature “zero Covid” policy, now abandoned, drew widespread protests in November and worsened an economic slowdown.

The leadership will lay out its agenda for addressing challenges such as mounting local government debt, unemployment, a housing slump, weak exports and a shrinking population. Delegates are expected to rubber-stamp decisions made in advance, behind closed doors, by leaders of the party who hold ultimate authority.

At the end of the gathering, which runs for nine days, Mr. Xi is all but assured to be appointed to another five-year term as president after securing a groundbreaking third term as party leader in October. He is also expected to appoint his loyalists and allies to key government positions."
They Sneaked Into a Derelict Arms Plant: Instagrammers or Spies?,"Fri, 03 Mar 2023 18:08:50 +0000","Three people, including two Russians, arrested on charges of entering an abandoned rifle factory have puzzled Albanian authorities at a time when suspicions about Moscow have been mounting.",Andrew Higgins,https://www.nytimes.com/2023/03/03/world/europe/albania-russia-ukraine.html,"Spiro Lasi, a construction worker whose house looks out over the Gramsh factory, said he was stunned that the trespassers were being held on suspicion of spying. “It makes no sense to me at all,” he said, noting that the factory had stopped work decades ago and, though still guarded by the Albanian military, holds nothing but ruins.

Aldi Kozaria, an Albanian journalist who broke the story of the arrests, said that he was initially skeptical, too, but that he now thinks the three were definitely up to no good. “In the beginning I thought it was all a joke, but if you connect dots the case starts to makes sense,” he said.

One important dot, he says, is the fact that shortly after the arrests, Moscow sent an urgent request to Albania for the extradition of one of the two detained Russians, Svetlana Timofeyeva, 33, a prominent urbex photographer with more than 250,000 followers on Instagram, where she uses the name Lana Sator.

The extradition request claimed that Ms. Timofeyeva was wanted in Russia in connection with a 2018 criminal case involving illegal entry into an underground military site in Chekhov, a town south of Moscow that housed a Cold War nuclear command center.

The Albanian prosecutor leading the investigation, Kreshnik Ajazi, says he thinks it fishy that Moscow moved so quickly to dust off an old case to justify a demand that Ms. Timofeyeva be sent back to Russia. Extradition, he said, “is one of the ways they rescue people.”

But Ms. Timofeyeva, according to her lawyer, Fatmir Lushi, has no desire to go back to Russia and is fighting extradition because she “left a clear record on social media against Putin and the war in Ukraine.” Mr. Lushi discounted the possibility that Russia’s request was a ruse to save an agent. On the contrary, he said, Ms. Timofeyeva faced punishment if sent to Russia and would be treated “very inhumanely.”"
